setting:	(prec, auc)
crop_nonloc_1_cv.TM_CCORR_NORMED:	(0.8333333333333334, 3.276066666666667)
crop_nonloc_3_cv.TM_CCORR_NORMED:	(0.8333333333333334, 3.276066666666667)
crop_opening_nonloc_1_cv.TM_CCORR_NORMED:	(0.8333333333333334, 3.276066666666667)
crop_eq_opening_nonloc_11_cv.TM_CCORR_NORMED:	(0.8333333333333334, 3.272700000000001)
crop_opening_3_cv.TM_CCORR_NORMED:	(0.8333333333333334, 3.2690666666666672)
crop_opening_nonloc_3_cv.TM_CCORR_NORMED:	(0.8333333333333334, 3.2690333333333337)
crop_opening_nonloc_11_cv.TM_CCORR_NORMED:	(0.8333333333333334, 3.2679)
crop_opening_5_cv.TM_CCORR_NORMED:	(0.8333333333333334, 3.2676666666666665)
crop_eq_nonloc_19_cv.TM_SQDIFF_NORMED:	(0.8333333333333334, 3.2411000000000003)
crop_eq_nonloc_21_cv.TM_SQDIFF_NORMED:	(0.8333333333333334, 3.2361000000000004)
crop_eq_opening_13_cv.TM_SQDIFF_NORMED:	(0.8333333333333334, 3.235816666666667)
crop_eq_nonloc_23_cv.TM_SQDIFF_NORMED:	(0.8333333333333334, 3.230833333333334)
crop_opening_nonloc_11_cv.TM_SQDIFF:	(0.8333333333333334, 3.230116666666668)
crop_eq_nonloc_25_cv.TM_SQDIFF_NORMED:	(0.8333333333333334, 3.2257)
crop_eq_nonloc_41_cv.TM_SQDIFF_NORMED:	(0.8333333333333334, 3.2243000000000004)
crop_eq_nonloc_39_cv.TM_SQDIFF_NORMED:	(0.8333333333333334, 3.222666666666667)
crop_eq_nonloc_27_cv.TM_SQDIFF_NORMED:	(0.8333333333333334, 3.2226000000000004)
crop_eq_nonloc_37_cv.TM_SQDIFF_NORMED:	(0.8333333333333334, 3.221666666666667)
crop_eq_nonloc_29_cv.TM_SQDIFF_NORMED:	(0.8333333333333334, 3.2210333333333336)
crop_eq_nonloc_31_cv.TM_SQDIFF_NORMED:	(0.8333333333333334, 3.2206000000000006)
crop_eq_nonloc_35_cv.TM_SQDIFF_NORMED:	(0.8333333333333334, 3.2204000000000006)
crop_eq_nonloc_33_cv.TM_SQDIFF_NORMED:	(0.8333333333333334, 3.220166666666667)
crop_eq_opening_11_cv.TM_SQDIFF_NORMED:	(0.8333333333333334, 3.211550000000001)
crop_opening_nonloc_13_cv.TM_SQDIFF_NORMED:	(0.8333333333333334, 3.20785)
crop_eq_opening_5_cv.TM_SQDIFF_NORMED:	(0.8333333333333334, 3.2039)
crop_eq_opening_nonloc_5_cv.TM_SQDIFF_NORMED:	(0.8333333333333334, 3.2034333333333342)
crop_eq_opening_9_cv.TM_SQDIFF_NORMED:	(0.8333333333333334, 3.185166666666667)
crop_eq_opening_nonloc_9_cv.TM_SQDIFF_NORMED:	(0.8333333333333334, 3.1806333333333336)
crop_eq_opening_nonloc_15_cv.TM_SQDIFF_NORMED:	(0.8333333333333334, 3.1691000000000003)
crop_eq_opening_nonloc_17_cv.TM_SQDIFF_NORMED:	(0.8333333333333334, 3.161666666666667)
crop_opening_nonloc_9_cv.TM_CCOEFF_NORMED:	(0.8333333333333334, 3.1102000000000007)
crop_nonloc_5_cv.TM_CCOEFF_NORMED:	(0.8333333333333334, 3.0648000000000004)
crop_nonloc_3_cv.TM_CCOEFF_NORMED:	(0.8333333333333334, 3.064233333333334)
crop_0_cv.TM_CCOEFF_NORMED:	(0.8333333333333334, 3.0642000000000005)
crop_opening_1_cv.TM_CCOEFF_NORMED:	(0.8333333333333334, 3.0642000000000005)
crop_nonloc_1_cv.TM_CCOEFF_NORMED:	(0.8333333333333334, 3.0642000000000005)
crop_opening_nonloc_1_cv.TM_CCOEFF_NORMED:	(0.8333333333333334, 3.0642000000000005)
crop_opening_nonloc_5_cv.TM_CCOEFF_NORMED:	(0.8333333333333334, 3.0561000000000007)
crop_opening_5_cv.TM_CCOEFF_NORMED:	(0.8333333333333334, 3.0544333333333338)
crop_eq_opening_7_cv.TM_CCOEFF_NORMED:	(0.8333333333333334, 3.0514666666666668)
crop_eq_opening_nonloc_15_cv.TM_SQDIFF:	(0.8333333333333334, 3.043250000000001)
crop_opening_nonloc_3_cv.TM_CCOEFF_NORMED:	(0.8333333333333334, 3.0369333333333337)
crop_opening_3_cv.TM_CCOEFF_NORMED:	(0.8333333333333334, 3.036633333333334)
crop_eq_nonloc_15_cv.TM_CCOEFF_NORMED:	(0.8333333333333334, 3.0309333333333335)
crop_nonloc_15_cv.TM_CCOEFF_NORMED:	(0.8333333333333334, 3.023966666666667)
crop_nonloc_17_cv.TM_CCOEFF_NORMED:	(0.8333333333333334, 3.0224666666666673)
crop_nonloc_29_cv.TM_CCOEFF_NORMED:	(0.8333333333333334, 2.9878000000000005)
crop_nonloc_31_cv.TM_CCOEFF_NORMED:	(0.8333333333333334, 2.9832333333333336)
crop_nonloc_33_cv.TM_CCOEFF_NORMED:	(0.8333333333333334, 2.9754000000000005)
crop_nonloc_37_cv.TM_CCOEFF_NORMED:	(0.8333333333333334, 2.9685000000000006)
crop_nonloc_35_cv.TM_CCOEFF_NORMED:	(0.8333333333333334, 2.967366666666667)
crop_nonloc_39_cv.TM_CCOEFF_NORMED:	(0.8333333333333334, 2.9634000000000005)
crop_nonloc_41_cv.TM_CCOEFF_NORMED:	(0.8333333333333334, 2.9614666666666674)
crop_eq_opening_nonloc_13_cv.TM_CCORR_NORMED:	(0.8, 2.959783333333334)
crop_opening_11_cv.TM_CCORR_NORMED:	(0.8, 2.9535166666666672)
crop_nonloc_41_cv.TM_CCORR_NORMED:	(0.8, 2.9490833333333337)
crop_nonloc_39_cv.TM_CCORR_NORMED:	(0.8, 2.9481166666666674)
crop_nonloc_17_cv.TM_CCORR_NORMED:	(0.8, 2.94485)
crop_nonloc_15_cv.TM_CCORR_NORMED:	(0.8, 2.9443833333333336)
crop_nonloc_31_cv.TM_CCORR_NORMED:	(0.8, 2.9442166666666676)
crop_nonloc_29_cv.TM_CCORR_NORMED:	(0.8, 2.943683333333334)
crop_nonloc_9_cv.TM_CCORR_NORMED:	(0.8, 2.943616666666667)
crop_nonloc_11_cv.TM_CCORR_NORMED:	(0.8, 2.9433166666666675)
crop_nonloc_27_cv.TM_CCORR_NORMED:	(0.8, 2.9430166666666673)
